X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
-7708794.0855,5709827.7508,1,APPA,Appalachian National Scenic Trail,2021/12/07 00:00:00+00,ME,NE,2766084,National Scenic Trail,Lands,Appalachian,2022/01/06 10:43:45+00,WASO,2022/01/06 10:43:45+00,WASO,f6f95873-0290-4244-aee4-39c8578fc38e
-8575670.1949,4706920.9465,2,WHHO,White House,2010/05/28 00:00:00+00,DC,NC,2733430,Other Designation,Lands,President's Park (White House),2022/01/06 10:44:35+00,WASO,2022/01/06 10:44:35+00,WASO,06cd507b-ddd5-4507-8596-a50c15dfdf46
-9877256.119,4096966.3832,3,BRCR,Brices Cross Roads National Battlefield Site,2005/10/13 00:00:00+00,MS,SE,667556,National Battlefield Site,Lands,Brices Cross Roads,2022/01/06 10:42:25+00,WASO,2022/01/06 10:42:25+00,WASO,3b93bafc-0e22-4dbd-a727-9afcfea1da90
-13152735.374,4401121.9383,4,MANZ,Manzanar National Historic Site,2008/03/04 00:00:00+00,CA,PW,1804731,National Historic Site,Lands,Manzanar,2022/01/06 10:44:24+00,WASO,2022/01/06 10:44:24+00,WASO,7d1e54bd-e383-426d-b954-b94403216aa6
-9225503.7544,2832295.7921,5,DRTO,Dry Tortugas National Park,2007/11/07 00:00:00+00,FL,SE,307632,National Park,Lands,Dry Tortugas,2022/01/06 10:42:33+00,WASO,2022/01/06 10:42:33+00,WASO,fb27b01b-0d43-457e-880f-8e3dffb4c6e0
-11956688.2524,5707932.8546,6,LIBI,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,Little Bighorn Battlefield,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,d4a5486e-5f3b-4555-8391-13f08f197d1b
-8575624.1344,4704677.1744,7,JEFM,Thomas Jefferson Memorial,2009/11/06 00:00:00+00,DC,NC,530557,National Memorial,Lands,Thomas Jefferson Memorial,2022/01/06 10:44:19+00,WASO,2022/01/06 10:44:19+00,WASO,549a609a-38cd-4535-99cf-6f1b41c195d5
-13645567.1142,4564797.5952,8,MUWO,Muir Woods National Monument,2019/09/19 00:00:00+00,CA,PW,229295,National Monument,Lands,Muir Woods,2022/01/06 10:45:11+00,WASO,2022/01/06 10:45:11+00,WASO,21e71995-6c87-4180-8a97-947420ad118b
-8264336.7439,4980787.4998,9,EDIS,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,Thomas Edison,2022/01/06 10:42:33+00,WASO,2022/01/06 10:42:33+00,WASO,1e124b30-380e-4510-aaf8-68bc4fc3f762
-11322228.421,4245876.0843,10,LAMR,Lake Meredith National Recreation Area,2019/11/25 00:00:00+00,TX,IM,1384770,National Recreation Area,Lands,Lake Meredith,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,20e0fb1d-3e5d-43e0-ab7b-08c9398e8e98
-12528774.739,5103712.4447,11,GOSP,Golden Spike National Historical Park,2011/02/17 00:00:00+00,UT,IM,1428242,National Historical Park,Lands,Golden Spike,2022/01/06 10:42:52+00,WASO,2022/01/06 10:42:52+00,WASO,e200be58-27ad-40dc-9acf-98e5f009f5e9
-7473278.3491,5641806.6864,12,SACR,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,Saint Croix Island,2022/01/06 10:44:29+00,WASO,2022/01/06 10:44:29+00,WASO,246bf9d2-c7e6-4f9e-b7c0-b1760744e019
-10243304.572,5785052.0742,13,SACN,Saint Croix National Scenic Riverway,2019/02/07 00:00:00+00,WI,MW,1888958,National Scenic Riverway,Lands,Saint Croix,2022/01/06 10:45:12+00,WASO,2022/01/06 10:45:12+00,WASO,2e35b4b4-0375-488a-8a95-2a288d2cb4c8
-8988801.3082,3347448.4051,14,CANA,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,Canaveral,2022/01/06 10:43:46+00,WASO,2022/01/06 10:43:46+00,WASO,33aa1a5e-59e2-4111-ad57-d95ddb2fa834
-8771950.902,4492819.9088,15,APCO,Appomattox Court House National Historical Park,2010/10/07 00:00:00+00,VA,NE,1462531,National Historical Park,Lands,Appomattox Court House,2022/01/06 10:41:21+00,WASO,2022/01/06 10:41:21+00,WASO,535985b0-697f-4e27-9962-d7d2c849c06b
-17298132.3156,8197234.5517,16,KATM,Katmai National Preserve,2019/03/21 00:00:00+00,AK,AK,1416045,National Preserve,Lands,Katmai,2022/01/06 10:44:22+00,WASO,2022/01/06 10:44:22+00,WASO,dbd9666d-4ea7-4901-af93-4d608c09e47b
-7949379.3916,5135502.1213,17,ROWI,Roger Williams National Memorial,2011/09/30 00:00:00+00,RI,NE,1904107,National Memorial,Lands,Roger Williams,2022/01/06 10:44:28+00,WASO,2022/01/06 10:44:28+00,WASO,319d2de2-9fcf-4688-9de2-c2e13146a619
-13435183.6773,6165050.269,18,LACH,Lake Chelan National Recreation Area,2021/06/14 00:00:00+00,WA,PW,1528425,National Recreation Area,Lands,Lake Chelan,2022/01/06 10:44:22+00,WASO,2022/01/06 10:44:22+00,WASO,29d4ad1c-0e6f-4c85-a967-84ae61df2707
-17599309.0708,7739965.3743,19,ANIA,Aniakchak National Monument,2019/03/21 00:00:00+00,AK,AK,1416034,National Monument,Lands,Aniakchak,2022/01/06 10:41:20+00,WASO,2022/01/06 10:41:20+00,WASO,b293bd30-292c-4368-a225-b82946526a81
-12099239.802,4729512.5634,20,COLM,Colorado National Monument,2016/04/01 00:00:00+00,CO,IM,202252,National Monument,Lands,Colorado,2022/01/06 10:42:31+00,WASO,2022/01/06 10:42:31+00,WASO,aab3175d-7433-4b1c-b93f-850e38908ab5
-13318052.8826,5550205.0859,21,JODA,John Day Fossil Beds National Monument,2015/07/08 00:00:00+00,OR,PW,1133439,National Monument,Lands,John Day Fossil Beds,2022/01/06 10:44:54+00,WASO,2022/01/06 10:44:54+00,WASO,12e84218-cc45-4c32-9296-bb28b6fd3fc6
-8654195.1667,4766507.8128,22,HAFE,Harpers Ferry National Historical Park,2021/09/15 00:00:00+00,WV,NC,1556735,National Historical Park,Lands,Harpers Ferry,2022/01/06 10:42:53+00,WASO,2022/01/06 10:42:53+00,WASO,bee4cb45-4404-4779-b8b6-856f3f274477
-9744403.0668,4675797.5035,23,GERO,George Rogers Clark National Historical Park,2010/08/18 00:00:00+00,IN,MW,447197,National Historical Park,Lands,George Rogers Clark,2022/01/06 10:42:50+00,WASO,2022/01/06 10:42:50+00,WASO,7dd1a4e3-baec-42b0-90c5-9cd82a6a1fd5
