ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2012,1,"11,930",600,"78,738",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,2,"12,388",600,"81,758",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,3,"22,684",600,"149,716",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,4,"59,471",600,"344,929",600,0,0,"1,338",174,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,5,"157,406","7,500","894,751","7,500",0,0,"7,800","1,467",29,0,552,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,6,"309,198","7,500","1,754,612","7,500",0,0,"17,220","3,888",205,0,"1,436",Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,7,"539,234","7,500","2,661,851","7,500",0,0,"36,156","6,540",300,0,"2,507",Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,8,"574,307","7,500","2,832,259","7,500",0,0,"37,554","7,200",392,0,"2,384",Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,9,"391,810","7,500","1,857,938","7,500",0,0,"17,832","6,291",334,0,676,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,10,"302,932","6,000","1,504,128","6,000",0,0,"6,387","1,134",56,0,270,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,11,"38,385",600,"230,308",600,0,0,195,66,0,0,258,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,12,"11,307",600,"67,843",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,1,"11,249",600,"74,245",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,2,"9,869",600,"65,134",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,3,"20,631",600,"136,166",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,4,"47,090",600,"273,124",600,0,0,"1,203",0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,5,"133,653","7,500","751,112","7,500",0,0,"5,985","1,230",45,0,444,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,6,"315,791","7,500","1,777,331","7,500",0,0,"17,415","4,482",226,0,892,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,7,"555,308","7,500","2,720,142","7,500",0,0,"34,113","7,569",368,0,"2,514",Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,8,"617,306","7,500","3,019,366","7,500",0,0,"37,020","7,980",343,0,"2,331",Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,9,"400,400","7,500","1,848,348","7,500",0,0,"17,322","7,107",184,0,669,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,10,"94,904","6,000","390,033","6,000",0,0,"1,212",528,0,0,14,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,11,"41,181",600,"247,088",600,0,0,423,129,0,0,183,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,12,"7,540",600,"45,242",600,0,0,60,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,1,"10,459",600,"69,028",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,2,"10,258",600,"67,700",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,3,"17,502",600,"115,511",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,4,"57,211",600,"331,824",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,5,"153,013","7,500","855,861","7,500",0,0,"8,133","1,671",46,0,639,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,6,"338,845","7,500","1,910,698","7,500",0,0,"19,848","4,761",285,0,"1,601",Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,7,"561,073","7,500","2,755,060","7,500",0,0,"35,091","8,349",341,0,"2,549",Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,8,"638,152","7,500","3,122,768","7,500",0,0,"36,438","8,394",285,0,"2,554",Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,9,"418,173","7,500","1,927,870","7,500",0,0,"19,992","7,620",223,0,829,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,10,"313,920","6,000","1,661,862","6,000",0,0,"6,972","2,574",50,0,302,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,11,"31,013",600,"186,077",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,12,"13,510",600,"81,058",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,1,"12,578",600,"83,017",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,2,"10,626",600,"70,132",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,3,"18,062",600,"119,207",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,4,"63,214",600,"366,642",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,5,"187,205","7,500","1,062,976","7,500",0,0,"10,248","1,737",44,0,753,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,6,"359,661","7,500","2,031,345","7,500",0,0,"20,187","4,776",222,0,"1,191",Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,7,"606,597","7,500","2,975,978","7,500",0,0,"36,642","7,992",310,0,"2,542",Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,8,"666,767","7,500","3,266,176","7,500",0,0,"36,042","7,902",332,0,"2,167",Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,9,"479,320","7,500","2,232,571","7,500",0,0,"23,814","7,206",241,0,"1,171",Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,10,"344,362","6,000","1,867,356","6,000",0,0,"8,067","2,481",84,0,519,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,11,"48,912",600,"293,469",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,12,"13,880",600,"83,282",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,1,"17,204",600,"113,549",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,2,"16,530",600,"109,098",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,3,"28,121",600,"185,597",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,4,"94,199",600,"575,374",600,0,0,885,168,0,0,10,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,5,"217,147","7,500","1,587,762","7,500",0,0,"10,521","1,854",38,0,637,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,6,"445,410","7,500","3,496,610","7,500",0,0,"25,488","7,938",303,0,"1,425",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,7,"696,854","7,500","4,880,430","7,500",0,0,"39,942","11,757",353,0,"2,966",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,8,"735,945","7,500","5,075,152","7,500",0,360,"40,557","11,649",381,0,"2,250",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,9,"570,434","7,500","3,596,598","7,500",0,617,"23,148","10,044",249,0,984,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,10,"412,416","6,000","2,663,628","6,000",0,0,"12,270","3,219",0,0,291,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,11,"55,022",600,"330,133",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,12,"14,111",600,"84,665",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2017,1,"15,520",600,"102,429",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2017,"3,509,271","47,100","24,014,370","47,100",0,"1,657","152,586","55,812","1,597",0,"10,889"
Acadia NP,ACAD,National Park,Northeast ,ME,2017,2,"14,342",600,"94,657",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2017,"3,509,271","47,100","24,014,370","47,100",0,"1,657","152,586","55,812","1,597",0,"10,889"
Acadia NP,ACAD,National Park,Northeast ,ME,2017,3,"20,936",600,"138,175",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2017,"3,509,271","47,100","24,014,370","47,100",0,"1,657","152,586","55,812","1,597",0,"10,889"
