Bookmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2016,1,"17,204",600,"113,549",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,2,"16,530",600,"109,098",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,3,"28,121",600,"185,597",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,4,"94,199",600,"575,374",600,0,0,885,168,0,0,10,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,5,"217,147","7,500","1,587,762","7,500",0,0,"10,521","1,854",38,0,637,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,6,"445,410","7,500","3,496,610","7,500",0,0,"25,488","7,938",303,0,"1,425",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,7,"696,854","7,500","4,880,430","7,500",0,0,"39,942","11,757",353,0,"2,966",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,8,"735,945","7,500","5,075,152","7,500",0,360,"40,557","11,649",381,0,"2,250",Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,9,"570,434","7,500","3,596,598","7,500",0,617,"23,148","10,044",249,0,984,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,10,"412,416","6,000","2,663,628","6,000",0,0,"12,270","3,219",0,0,291,Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
