,ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry
0,Acadia NP,ACAD,National Park,Northeast ,ME,2016,1,17204,600,113549,600,0,0,0,0,0
1,Acadia NP,ACAD,National Park,Northeast ,ME,2016,2,16530,600,109098,600,0,0,0,0,0
2,Acadia NP,ACAD,National Park,Northeast ,ME,2016,3,28121,600,185597,600,0,0,0,0,0
3,Acadia NP,ACAD,National Park,Northeast ,ME,2016,4,94199,600,575374,600,0,0,885,168,0
4,Acadia NP,ACAD,National Park,Northeast ,ME,2016,5,217147,7500,1587762,7500,0,0,10521,1854,38
5,Acadia NP,ACAD,National Park,Northeast ,ME,2016,6,445410,7500,3496610,7500,0,0,25488,7938,303
6,Acadia NP,ACAD,National Park,Northeast ,ME,2016,7,696854,7500,4880430,7500,0,0,39942,11757,353
7,Acadia NP,ACAD,National Park,Northeast ,ME,2016,8,735945,7500,5075152,7500,0,360,40557,11649,381
8,Acadia NP,ACAD,National Park,Northeast ,ME,2016,9,570434,7500,3596598,7500,0,617,23148,10044,249
9,Acadia NP,ACAD,National Park,Northeast ,ME,2016,10,412416,6000,2663628,6000,0,0,12270,3219,0
10,Acadia NP,ACAD,National Park,Northeast ,ME,2016,11,55022,600,330133,600,0,0,0,0,0
11,Acadia NP,ACAD,National Park,Northeast ,ME,2016,12,14111,600,84665,600,0,0,0,0,0
12,Acadia NP,ACAD,National Park,Northeast ,ME,2017,1,15520,600,102429,600,0,0,0,0,0
13,Acadia NP,ACAD,National Park,Northeast ,ME,2017,2,14342,600,94657,600,0,0,0,0,0
14,Acadia NP,ACAD,National Park,Northeast ,ME,2017,3,20936,600,138175,600,0,0,0,0,0
15,Acadia NP,ACAD,National Park,Northeast ,ME,2017,4,85267,600,516088,600,0,0,594,195,0
16,Acadia NP,ACAD,National Park,Northeast ,ME,2017,5,222978,7500,1680423,7500,0,100,10827,3213,298
17,Acadia NP,ACAD,National Park,Northeast ,ME,2017,6,476191,7500,3657913,7500,0,343,24372,9360,298
18,Acadia NP,ACAD,National Park,Northeast ,ME,2017,7,743529,7500,5107426,7500,0,188,39429,12642,325
19,Acadia NP,ACAD,National Park,Northeast ,ME,2017,8,762436,7500,5209104,7500,0,368,39864,11874,336
20,Acadia NP,ACAD,National Park,Northeast ,ME,2017,9,595388,7500,3916584,7500,0,556,27054,13554,253
21,Acadia NP,ACAD,National Park,Northeast ,ME,2017,10,507594,6000,3201030,6000,0,102,10446,4974,87
22,Acadia NP,ACAD,National Park,Northeast ,ME,2017,11,53006,600,318037,600,0,0,0,0,0
23,Acadia NP,ACAD,National Park,Northeast ,ME,2017,12,12084,600,72504,600,0,0,0,0,0
24,Acadia NP,ACAD,National Park,Northeast ,ME,2018,1,11974,600,79026,600,0,0,0,0,0
25,Acadia NP,ACAD,National Park,Northeast ,ME,2018,2,12167,600,80301,600,0,0,0,0,0
26,Acadia NP,ACAD,National Park,Northeast ,ME,2018,3,23756,600,156790,600,0,0,0,0,0
27,Acadia NP,ACAD,National Park,Northeast ,ME,2018,4,72858,600,421428,600,0,0,0,0,0
28,Acadia NP,ACAD,National Park,Northeast ,ME,2018,5,249050,7500,1854392,7500,0,25,11325,3912,126
29,Acadia NP,ACAD,National Park,Northeast ,ME,2018,6,499163,7500,3861197,7500,0,296,25626,10479,323
30,Acadia NP,ACAD,National Park,Northeast ,ME,2018,7,759165,7500,5119628,7500,0,188,37218,12723,345
31,Acadia NP,ACAD,National Park,Northeast ,ME,2018,8,767219,7500,5175840,7500,0,370,37923,12579,345
32,Acadia NP,ACAD,National Park,Northeast ,ME,2018,9,600397,7500,3885466,7500,0,485,25128,14097,271
33,Acadia NP,ACAD,National Park,Northeast ,ME,2018,10,488204,6000,2657950,6000,0,0,7524,4425,62
34,Acadia NP,ACAD,National Park,Northeast ,ME,2018,11,40930,600,245582,600,0,0,0,0,0
