,ParkName,UnitCode,Region,State,Year,Month,RecVisits,NonRecVisits,RecHours,NonRecHours,TentCampers,RVCampers,Backcountry,RecHrsRange,cluster
0,Acadia NP,ACAD,Northeast ,ME,2012,1,11930,600,78738,600,0,0,0,Low usage,pink
1,Acadia NP,ACAD,Northeast ,ME,2012,2,12388,600,81758,600,0,0,0,Low usage,pink
2,Acadia NP,ACAD,Northeast ,ME,2012,3,22684,600,149716,600,0,0,0,Usual usage,pink
3,Acadia NP,ACAD,Northeast ,ME,2012,4,59471,600,344929,600,1338,174,0,Usual usage,pink
4,Acadia NP,ACAD,Northeast ,ME,2012,5,157406,7500,894751,7500,7800,1467,29,High usage,pink
5,Acadia NP,ACAD,Northeast ,ME,2012,6,309198,7500,1754612,7500,17220,3888,205,High usage,pink
6,Acadia NP,ACAD,Northeast ,ME,2012,7,539234,7500,2661851,7500,36156,6540,300,High usage,purple
7,Acadia NP,ACAD,Northeast ,ME,2012,8,574307,7500,2832259,7500,37554,7200,392,High usage,purple
8,Acadia NP,ACAD,Northeast ,ME,2012,9,391810,7500,1857938,7500,17832,6291,334,High usage,pink
9,Acadia NP,ACAD,Northeast ,ME,2012,10,302932,6000,1504128,6000,6387,1134,56,High usage,pink
10,Acadia NP,ACAD,Northeast ,ME,2012,11,38385,600,230308,600,195,66,0,Usual usage,pink
11,Acadia NP,ACAD,Northeast ,ME,2012,12,11307,600,67843,600,0,0,0,Low usage,pink
12,Acadia NP,ACAD,Northeast ,ME,2013,1,11249,600,74245,600,0,0,0,Low usage,pink
13,Acadia NP,ACAD,Northeast ,ME,2013,2,9869,600,65134,600,0,0,0,Low usage,pink
14,Acadia NP,ACAD,Northeast ,ME,2013,3,20631,600,136166,600,0,0,0,Usual usage,pink
15,Acadia NP,ACAD,Northeast ,ME,2013,4,47090,600,273124,600,1203,0,0,Usual usage,pink
16,Acadia NP,ACAD,Northeast ,ME,2013,5,133653,7500,751112,7500,5985,1230,45,High usage,pink
17,Acadia NP,ACAD,Northeast ,ME,2013,6,315791,7500,1777331,7500,17415,4482,226,High usage,pink
18,Acadia NP,ACAD,Northeast ,ME,2013,7,555308,7500,2720142,7500,34113,7569,368,High usage,purple
19,Acadia NP,ACAD,Northeast ,ME,2013,8,617306,7500,3019366,7500,37020,7980,343,High usage,purple
20,Acadia NP,ACAD,Northeast ,ME,2013,9,400400,7500,1848348,7500,17322,7107,184,High usage,pink
21,Acadia NP,ACAD,Northeast ,ME,2013,10,94904,6000,390033,6000,1212,528,0,Usual usage,pink
22,Acadia NP,ACAD,Northeast ,ME,2013,11,41181,600,247088,600,423,129,0,Usual usage,pink
23,Acadia NP,ACAD,Northeast ,ME,2013,12,7540,600,45242,600,60,0,0,Low usage,pink
24,Acadia NP,ACAD,Northeast ,ME,2014,1,10459,600,69028,600,0,0,0,Low usage,pink
25,Acadia NP,ACAD,Northeast ,ME,2014,2,10258,600,67700,600,0,0,0,Low usage,pink
26,Acadia NP,ACAD,Northeast ,ME,2014,3,17502,600,115511,600,0,0,0,Usual usage,pink
27,Acadia NP,ACAD,Northeast ,ME,2014,4,57211,600,331824,600,0,0,0,Usual usage,pink
28,Acadia NP,ACAD,Northeast ,ME,2014,5,153013,7500,855861,7500,8133,1671,46,High usage,pink
29,Acadia NP,ACAD,Northeast ,ME,2014,6,338845,7500,1910698,7500,19848,4761,285,High usage,pink
30,Acadia NP,ACAD,Northeast ,ME,2014,7,561073,7500,2755060,7500,35091,8349,341,High usage,purple
31,Acadia NP,ACAD,Northeast ,ME,2014,8,638152,7500,3122768,7500,36438,8394,285,High usage,purple
32,Acadia NP,ACAD,Northeast ,ME,2014,9,418173,7500,1927870,7500,19992,7620,223,High usage,pink
33,Acadia NP,ACAD,Northeast ,ME,2014,10,313920,6000,1661862,6000,6972,2574,50,High usage,pink
34,Acadia NP,ACAD,Northeast ,ME,2014,11,31013,600,186077,600,0,0,0,Usual usage,pink
35,Acadia NP,ACAD,Northeast ,ME,2014,12,13510,600,81058,600,0,0,0,Low usage,pink
36,Acadia NP,ACAD,Northeast ,ME,2015,1,12578,600,83017,600,0,0,0,Low usage,pink
37,Acadia NP,ACAD,Northeast ,ME,2015,2,10626,600,70132,600,0,0,0,Low usage,pink
38,Acadia NP,ACAD,Northeast ,ME,2015,3,18062,600,119207,600,0,0,0,Usual usage,pink
39,Acadia NP,ACAD,Northeast ,ME,2015,4,63214,600,366642,600,0,0,0,Usual usage,pink
40,Acadia NP,ACAD,Northeast ,ME,2015,5,187205,7500,1062976,7500,10248,1737,44,High usage,pink
41,Acadia NP,ACAD,Northeast ,ME,2015,6,359661,7500,2031345,7500,20187,4776,222,High usage,pink
42,Acadia NP,ACAD,Northeast ,ME,2015,7,606597,7500,2975978,7500,36642,7992,310,High usage,purple
43,Acadia NP,ACAD,Northeast ,ME,2015,8,666767,7500,3266176,7500,36042,7902,332,High usage,purple
44,Acadia NP,ACAD,Northeast ,ME,2015,9,479320,7500,2232571,7500,23814,7206,241,High usage,pink
45,Acadia NP,ACAD,Northeast ,ME,2015,10,344362,6000,1867356,6000,8067,2481,84,High usage,pink
46,Acadia NP,ACAD,Northeast ,ME,2015,11,48912,600,293469,600,0,0,0,Usual usage,pink
47,Acadia NP,ACAD,Northeast ,ME,2015,12,13880,600,83282,600,0,0,0,Low usage,pink
48,Acadia NP,ACAD,Northeast ,ME,2016,1,17204,600,113549,600,0,0,0,Usual usage,pink
49,Acadia NP,ACAD,Northeast ,ME,2016,2,16530,600,109098,600,0,0,0,Usual usage,pink
50,Acadia NP,ACAD,Northeast ,ME,2016,3,28121,600,185597,600,0,0,0,Usual usage,pink
51,Acadia NP,ACAD,Northeast ,ME,2016,4,94199,600,575374,600,885,168,0,High usage,pink
52,Acadia NP,ACAD,Northeast ,ME,2016,5,217147,7500,1587762,7500,10521,1854,38,High usage,pink
53,Acadia NP,ACAD,Northeast ,ME,2016,6,445410,7500,3496610,7500,25488,7938,303,High usage,purple
54,Acadia NP,ACAD,Northeast ,ME,2016,7,696854,7500,4880430,7500,39942,11757,353,High usage,purple
55,Acadia NP,ACAD,Northeast ,ME,2016,8,735945,7500,5075152,7500,40557,11649,381,High usage,purple
56,Acadia NP,ACAD,Northeast ,ME,2016,9,570434,7500,3596598,7500,23148,10044,249,High usage,purple
57,Acadia NP,ACAD,Northeast ,ME,2016,10,412416,6000,2663628,6000,12270,3219,0,High usage,purple
58,Acadia NP,ACAD,Northeast ,ME,2016,11,55022,600,330133,600,0,0,0,Usual usage,pink
59,Acadia NP,ACAD,Northeast ,ME,2016,12,14111,600,84665,600,0,0,0,Low usage,pink
60,Acadia NP,ACAD,Northeast ,ME,2017,1,15520,600,102429,600,0,0,0,Usual usage,pink
61,Acadia NP,ACAD,Northeast ,ME,2017,2,14342,600,94657,600,0,0,0,Low usage,pink
62,Acadia NP,ACAD,Northeast ,ME,2017,3,20936,600,138175,600,0,0,0,Usual usage,pink
63,Acadia NP,ACAD,Northeast ,ME,2017,4,85267,600,516088,600,594,195,0,High usage,pink
64,Acadia NP,ACAD,Northeast ,ME,2017,5,222978,7500,1680423,7500,10827,3213,298,High usage,pink
65,Acadia NP,ACAD,Northeast ,ME,2017,6,476191,7500,3657913,7500,24372,9360,298,High usage,purple
66,Acadia NP,ACAD,Northeast ,ME,2017,7,743529,7500,5107426,7500,39429,12642,325,High usage,purple
67,Acadia NP,ACAD,Northeast ,ME,2017,8,762436,7500,5209104,7500,39864,11874,336,High usage,purple
68,Acadia NP,ACAD,Northeast ,ME,2017,9,595388,7500,3916584,7500,27054,13554,253,High usage,purple
69,Acadia NP,ACAD,Northeast ,ME,2017,10,507594,6000,3201030,6000,10446,4974,87,High usage,purple
