,UnitCode,Region,State,Year,Month,RecVisits,NonRecVisits,RecHours,NonRecHours,TentCampers,RVCampers,Backcountry,RecHrsRange,cluster,X,Y,OBJECTID,ParkName,GNIS_ID,GlobalID
0,ACAD,Northeast ,ME,2012,1,11930,600,78738,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
1,ACAD,Northeast ,ME,2012,2,12388,600,81758,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
2,ACAD,Northeast ,ME,2012,3,22684,600,149716,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
3,ACAD,Northeast ,ME,2012,4,59471,600,344929,600,1338,174,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
4,ACAD,Northeast ,ME,2012,5,157406,7500,894751,7500,7800,1467,29,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
5,ACAD,Northeast ,ME,2012,6,309198,7500,1754612,7500,17220,3888,205,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
6,ACAD,Northeast ,ME,2012,7,539234,7500,2661851,7500,36156,6540,300,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
7,ACAD,Northeast ,ME,2012,8,574307,7500,2832259,7500,37554,7200,392,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
8,ACAD,Northeast ,ME,2012,9,391810,7500,1857938,7500,17832,6291,334,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
9,ACAD,Northeast ,ME,2012,10,302932,6000,1504128,6000,6387,1134,56,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
10,ACAD,Northeast ,ME,2012,11,38385,600,230308,600,195,66,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
11,ACAD,Northeast ,ME,2012,12,11307,600,67843,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
12,ACAD,Northeast ,ME,2013,1,11249,600,74245,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
13,ACAD,Northeast ,ME,2013,2,9869,600,65134,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
14,ACAD,Northeast ,ME,2013,3,20631,600,136166,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
15,ACAD,Northeast ,ME,2013,4,47090,600,273124,600,1203,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
16,ACAD,Northeast ,ME,2013,5,133653,7500,751112,7500,5985,1230,45,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
17,ACAD,Northeast ,ME,2013,6,315791,7500,1777331,7500,17415,4482,226,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
18,ACAD,Northeast ,ME,2013,7,555308,7500,2720142,7500,34113,7569,368,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
19,ACAD,Northeast ,ME,2013,8,617306,7500,3019366,7500,37020,7980,343,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
20,ACAD,Northeast ,ME,2013,9,400400,7500,1848348,7500,17322,7107,184,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
21,ACAD,Northeast ,ME,2013,10,94904,6000,390033,6000,1212,528,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
22,ACAD,Northeast ,ME,2013,11,41181,600,247088,600,423,129,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
23,ACAD,Northeast ,ME,2013,12,7540,600,45242,600,60,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
24,ACAD,Northeast ,ME,2014,1,10459,600,69028,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
25,ACAD,Northeast ,ME,2014,2,10258,600,67700,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
26,ACAD,Northeast ,ME,2014,3,17502,600,115511,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
27,ACAD,Northeast ,ME,2014,4,57211,600,331824,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
28,ACAD,Northeast ,ME,2014,5,153013,7500,855861,7500,8133,1671,46,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
29,ACAD,Northeast ,ME,2014,6,338845,7500,1910698,7500,19848,4761,285,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
30,ACAD,Northeast ,ME,2014,7,561073,7500,2755060,7500,35091,8349,341,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
31,ACAD,Northeast ,ME,2014,8,638152,7500,3122768,7500,36438,8394,285,High usage,purple,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
32,ACAD,Northeast ,ME,2014,9,418173,7500,1927870,7500,19992,7620,223,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
33,ACAD,Northeast ,ME,2014,10,313920,6000,1661862,6000,6972,2574,50,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
34,ACAD,Northeast ,ME,2014,11,31013,600,186077,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
35,ACAD,Northeast ,ME,2014,12,13510,600,81058,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
36,ACAD,Northeast ,ME,2015,1,12578,600,83017,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
37,ACAD,Northeast ,ME,2015,2,10626,600,70132,600,0,0,0,Low usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
38,ACAD,Northeast ,ME,2015,3,18062,600,119207,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
39,ACAD,Northeast ,ME,2015,4,63214,600,366642,600,0,0,0,Usual usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
40,ACAD,Northeast ,ME,2015,5,187205,7500,1062976,7500,10248,1737,44,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
41,ACAD,Northeast ,ME,2015,6,359661,7500,2031345,7500,20187,4776,222,High usage,pink,-7597050.378,5517888.408,404,Acadia National Park,578853,0f4ea678-1ebb-48e3-9254-cee62d765950
