,ParkName,UNIT_CODE,Region,State,Year,Month,RecHours,NonRecHours
0,Acadia NP,ACAD,Northeast ,ME,2012,1,78738,600
1,Acadia NP,ACAD,Northeast ,ME,2012,2,81758,600
2,Acadia NP,ACAD,Northeast ,ME,2012,3,149716,600
3,Acadia NP,ACAD,Northeast ,ME,2012,4,344929,600
4,Acadia NP,ACAD,Northeast ,ME,2012,5,894751,7500
5,Acadia NP,ACAD,Northeast ,ME,2012,6,1754612,7500
6,Acadia NP,ACAD,Northeast ,ME,2012,7,2661851,7500
7,Acadia NP,ACAD,Northeast ,ME,2012,8,2832259,7500
8,Acadia NP,ACAD,Northeast ,ME,2012,9,1857938,7500
9,Acadia NP,ACAD,Northeast ,ME,2012,10,1504128,6000
10,Acadia NP,ACAD,Northeast ,ME,2012,11,230308,600
11,Acadia NP,ACAD,Northeast ,ME,2012,12,67843,600
12,Acadia NP,ACAD,Northeast ,ME,2013,1,74245,600
13,Acadia NP,ACAD,Northeast ,ME,2013,2,65134,600
14,Acadia NP,ACAD,Northeast ,ME,2013,3,136166,600
15,Acadia NP,ACAD,Northeast ,ME,2013,4,273124,600
16,Acadia NP,ACAD,Northeast ,ME,2013,5,751112,7500
17,Acadia NP,ACAD,Northeast ,ME,2013,6,1777331,7500
18,Acadia NP,ACAD,Northeast ,ME,2013,7,2720142,7500
19,Acadia NP,ACAD,Northeast ,ME,2013,8,3019366,7500
20,Acadia NP,ACAD,Northeast ,ME,2013,9,1848348,7500
21,Acadia NP,ACAD,Northeast ,ME,2013,10,390033,6000
22,Acadia NP,ACAD,Northeast ,ME,2013,11,247088,600
23,Acadia NP,ACAD,Northeast ,ME,2013,12,45242,600
24,Acadia NP,ACAD,Northeast ,ME,2014,1,69028,600
25,Acadia NP,ACAD,Northeast ,ME,2014,2,67700,600
26,Acadia NP,ACAD,Northeast ,ME,2014,3,115511,600
27,Acadia NP,ACAD,Northeast ,ME,2014,4,331824,600
28,Acadia NP,ACAD,Northeast ,ME,2014,5,855861,7500
29,Acadia NP,ACAD,Northeast ,ME,2014,6,1910698,7500
30,Acadia NP,ACAD,Northeast ,ME,2014,7,2755060,7500
31,Acadia NP,ACAD,Northeast ,ME,2014,8,3122768,7500
32,Acadia NP,ACAD,Northeast ,ME,2014,9,1927870,7500
33,Acadia NP,ACAD,Northeast ,ME,2014,10,1661862,6000
34,Acadia NP,ACAD,Northeast ,ME,2014,11,186077,600
35,Acadia NP,ACAD,Northeast ,ME,2014,12,81058,600
36,Acadia NP,ACAD,Northeast ,ME,2015,1,83017,600
37,Acadia NP,ACAD,Northeast ,ME,2015,2,70132,600
38,Acadia NP,ACAD,Northeast ,ME,2015,3,119207,600
39,Acadia NP,ACAD,Northeast ,ME,2015,4,366642,600
40,Acadia NP,ACAD,Northeast ,ME,2015,5,1062976,7500
41,Acadia NP,ACAD,Northeast ,ME,2015,6,2031345,7500
42,Acadia NP,ACAD,Northeast ,ME,2015,7,2975978,7500
43,Acadia NP,ACAD,Northeast ,ME,2015,8,3266176,7500
44,Acadia NP,ACAD,Northeast ,ME,2015,9,2232571,7500
45,Acadia NP,ACAD,Northeast ,ME,2015,10,1867356,6000
46,Acadia NP,ACAD,Northeast ,ME,2015,11,293469,600
47,Acadia NP,ACAD,Northeast ,ME,2015,12,83282,600
48,Acadia NP,ACAD,Northeast ,ME,2016,1,113549,600
49,Acadia NP,ACAD,Northeast ,ME,2016,2,109098,600
50,Acadia NP,ACAD,Northeast ,ME,2016,3,185597,600
51,Acadia NP,ACAD,Northeast ,ME,2016,4,575374,600
52,Acadia NP,ACAD,Northeast ,ME,2016,5,1587762,7500
53,Acadia NP,ACAD,Northeast ,ME,2016,6,3496610,7500
54,Acadia NP,ACAD,Northeast ,ME,2016,7,4880430,7500
55,Acadia NP,ACAD,Northeast ,ME,2016,8,5075152,7500
56,Acadia NP,ACAD,Northeast ,ME,2016,9,3596598,7500
57,Acadia NP,ACAD,Northeast ,ME,2016,10,2663628,6000
58,Acadia NP,ACAD,Northeast ,ME,2016,11,330133,600
59,Acadia NP,ACAD,Northeast ,ME,2016,12,84665,600
60,Acadia NP,ACAD,Northeast ,ME,2017,1,102429,600
61,Acadia NP,ACAD,Northeast ,ME,2017,2,94657,600
62,Acadia NP,ACAD,Northeast ,ME,2017,3,138175,600
63,Acadia NP,ACAD,Northeast ,ME,2017,4,516088,600
64,Acadia NP,ACAD,Northeast ,ME,2017,5,1680423,7500
65,Acadia NP,ACAD,Northeast ,ME,2017,6,3657913,7500
66,Acadia NP,ACAD,Northeast ,ME,2017,7,5107426,7500
67,Acadia NP,ACAD,Northeast ,ME,2017,8,5209104,7500
68,Acadia NP,ACAD,Northeast ,ME,2017,9,3916584,7500
69,Acadia NP,ACAD,Northeast ,ME,2017,10,3201030,6000
70,Acadia NP,ACAD,Northeast ,ME,2017,11,318037,600
71,Acadia NP,ACAD,Northeast ,ME,2017,12,72504,600
72,Acadia NP,ACAD,Northeast ,ME,2018,1,79026,600
73,Acadia NP,ACAD,Northeast ,ME,2018,2,80301,600
74,Acadia NP,ACAD,Northeast ,ME,2018,3,156790,600
75,Acadia NP,ACAD,Northeast ,ME,2018,4,421428,600
76,Acadia NP,ACAD,Northeast ,ME,2018,5,1854392,7500
77,Acadia NP,ACAD,Northeast ,ME,2018,6,3861197,7500
78,Acadia NP,ACAD,Northeast ,ME,2018,7,5119628,7500
79,Acadia NP,ACAD,Northeast ,ME,2018,8,5175840,7500
80,Acadia NP,ACAD,Northeast ,ME,2018,9,3885466,7500
81,Acadia NP,ACAD,Northeast ,ME,2018,10,2657950,6000
82,Acadia NP,ACAD,Northeast ,ME,2018,11,245582,600
